"","telecommute_status","dest_purpose_simpler","count.x","prop.x","prop_se.x","est.x","est_se.x","count.y","prop.y","prop_se.y","est.y","est_se.y","trips_per_worker","trips_per_worker_per_week"
"1","Fully At Home","Errands/Shopping",892,0.330289988593706,0.0248526076396314,308778.355385337,28869.996318787,798,0.12089119304986,0.0108008402506918,271664.602273938,25094.667225482,1.1366160802723,5.68308040136149
"2","Fully At Home","School",1,0.00142056441756618,0.00142048465370279,1328.04371831745,1328.04371831768,798,0.12089119304986,0.0108008402506918,271664.602273938,25094.667225482,0.0048885416325911,0.0244427081629555
"3","Fully At Home","Social/Recreation",765,0.201658553179492,0.0195212260250611,188524.625482204,19921.7299009784,798,0.12089119304986,0.0108008402506918,271664.602273938,25094.667225482,0.693960950025067,3.46980475012534
"4","Fully At Home","Work",97,0.069928869638865,0.0125993124703639,65374.4349109096,12156.2141195422,798,0.12089119304986,0.0108008402506918,271664.602273938,25094.667225482,0.240643920347738,1.20321960173869
"5","Fully In Person","Errands/Shopping",1763,0.237418010923758,0.0115188097166256,1472688.93236457,83839.5170067215,1660,0.628656932593385,0.0169642493317035,1412707.00744345,63624.9776472002,1.04245885707728,5.21229428538642
"6","Fully In Person","School",34,0.00599047181078093,0.00176001826589875,37158.5184335996,10940.1897144372,1660,0.628656932593385,0.0169642493317035,1412707.00744345,63624.9776472002,0.0263030608879365,0.131515304439682
"7","Fully In Person","Social/Recreation",1640,0.152487339323084,0.00908883943100942,945869.338526893,61013.424581475,1660,0.628656932593385,0.0169642493317035,1412707.00744345,63624.9776472002,0.669543885280654,3.34771942640327
"8","Fully In Person","Work",2926,0.28227177663469,0.0110124809566716,1750914.00922521,78481.3301942913,1660,0.628656932593385,0.0169642493317035,1412707.00744345,63624.9776472002,1.23940349980553,6.19701749902766
"9","Hybrid","Errands/Shopping",1344,0.240678838067369,0.0163884989580146,522928.777264724,42051.2805385021,1414,0.250451874356755,0.0149838355519028,562811.128911834,36799.7249571103,0.929137236990638,4.64568618495319
"10","Hybrid","School",3,7.29330541135647e-05,6.57130865911336e-05,158.463424188182,142.671779434593,1414,0.250451874356755,0.0149838355519028,562811.128911834,36799.7249571103,0.000281557019838187,0.00140778509919094
"11","Hybrid","Social/Recreation",1515,0.211492453437251,0.0143191813242653,459514.808051804,34741.1071690076,1414,0.250451874356755,0.0149838355519028,562811.128911834,36799.7249571103,0.816463613539859,4.08231806769929
"12","Hybrid","Work",1301,0.212572676933669,0.0145239836888471,461861.835969547,35428.7296767923,1414,0.250451874356755,0.0149838355519028,562811.128911834,36799.7249571103,0.820633801009821,4.10316900504911
